Key_Proteins,Non_Key_Proteins
YNL062C,YGR295C
YDR091C,YNL336W
YDR449C,YOR067C
YML010W,YAR033W
YDR532C,YGL077C
YDR235W,YGL104C
YNL262W,YJL062W
YNL039W,YLR004C
YAL038W,YNL238W
YGR140W,YNL300W
YOL130W,YJR083C
YGL233W,YNL226W
YMR298W,YDR414C
YKL125W,YEL004W
YBR112C,YJL004C
YDR177W,YLR083C
YMR212C,YLR171W
YOR249C,YDL040C
YPL085W,YHR004C
YBR193C,YJL176C
YDL045C,YHR013C
YJL032W,YDL117W
YLR311C,YJL080C
YLR166C,YJR090C
YGR116W,YBR195C
YMR229C,YBL038W
YHR005C,YBL103C
YIL150C,YBR093C
YDR021W,YBR289W
YOR250C,YHL025W
YKL028W,YOR038C
YPR056W,YOR290C
YPR183W,YAL010C
YMR260C,YGL212W
YDR390C,YLR080W
YDR045C,YPR003C
YDR054C,YCR008W
YFL009W,YDL214C
YMR168C,YDR266C
YDR196C,YDR422C
YOR340C,YPL256C
YLR212C,YPR154W
YNL126W,YDR329C
YNL188W,YHR003C
YDL016C,YJR038C
YMR270C,YBL051C
YLR454W,YBR083W
YMR071C,YBR287W
YNL263C,YDL002C
YGR013W,YDL079C
YKL012W,YDR004W
YLR298C,YDR097C
YML046W,YDR334W
YJR049C,YFL013C
YJR136C,YGR163W
YJR141W,YLR052W
YKL088W,YLR385C
YOL144W,YML041C
YOL146W,YNL107W
YOR060C,YNL215W
YOR102W,YOL012C
YPL083C,YOR039W
YOR074C,YAL011W
YHR009C,YDR225W
YEL055C,YHR158C
YKL205W,YIR018W
YCR012W,YOR127W
YJL015C,YOR269W
YMR211W,YBL037W
YOR236W,YBL088C
YLR276C,YBR108W
YPL020C,YBR150C
YDR505C,YBR205W
YJL198W,YBR250W
YOR063W,YCL008C
YOR293W,YCL034W
YPR112C,YCL045C
YCR054C,YCR030C
YDR166C,YCR095C
YMR268C,YCR100C
YNR046W,YDL091C
YNL103W,YDL146W
YKL186C,YDL203C
YMR179W,YDL206W
YIL126W,YDR271C
YLR033W,YDR277C
YDR023W,YDR382W
YER038C,YDR423C
YGL169W,YDR520C
YPL238C,YEL068C
YHR122W,YER014W
YOL034W,YER027C
YGR145W,YFR013W
YEL026W,YGL035C
YIL078W,YGR166W
YLR027C,YHL016C
YKR075C,YIL076W
YPR085C,YIL156W
YKL022C,YIR003W
YBR158W,YJL145W
YKL004W,YJL151C
YIL019W,YJL201W
YHR040W,YJR113C
YLR305C,YJR115W
YGL073W,YKL054C
YML031W,YKL074C
YER106W,YKR030W
YNL197C,YKR095W
YNL272C,YLR064W
YML069W,YLR095C
YKL195W,YLR144C
YDR238C,YLR150W
YBR091C,YLR206W
YHR005C-A,YLR315W
YJL054W,YLR337C
YOR297C,YLR363W-A
YPL010W,YML097C
YJR003C,YML116W
YLR198C,YMR147W
YPL175W,YMR192W
YDL148C,YMR253C
YGL047W,YMR313C
YHR128W,YNL084C
YIL051C,YNL144C
YJL001W,YNL176C
YLR141W,YNL285W
YOR145C,YNR041C
YDL221W,YOL028C
YJR006W,YOR211C
YNL028W,YOR322C
YBR089W,YOR388C
YKL036C,YPL027W
YKL141W,YPL084W
YLR145W,YPL157W
YBL020W,YPL246C
YGL145W,YPL249C
YJL072C,YPR030W
YKL058W,YPR091C
YML105C,YPR159W
YOL066C,YDR318W
YOR194C,YGR089W
YOR271C,YKR054C
YDR489W,YLL021W
YGR073C,YDR485C
YHR190W,YGL127C
YPR144C,YGL241W
YGL068W,YHL001W
YGR198W,YLR399C
YJR041C,YOL054W
YJR016C,YBR231C
YLR007W,YAL060W
YKL112W,YBR018C
YOL097C,YBR042C
YCR052W,YBR065C
YKR008W,YBR074W
YCR096C,YBR107C
YMR043W,YBR128C
YBL092W,YBR170C
YHR085W,YBR221C
YLR075W,YBR240C
YPL131W,YBR241C
YIL118W,YBR249C
YOR295W,YCL038C
YNL038W,YDL160C
YGR128C,YDL168W
YHR148W,YDR005C
YJR002W,YDR012W
YKL099C,YDR105C
YLR129W,YDR194C
YLR409C,YDR479C
YMR128W,YDR483W
YNR043W,YDR512C
YNR054C,YDR524C
YPL217C,YDR528W
YDR082W,YER051W
YKR086W,YER078C
YIL129C,YER145C
YDR041W,YFR017C
YNL137C,YFR055W
YNL306W,YGL039W
YDL166C,YGL096W
YOL077C,YGL110C
YOL142W,YGR020C
YPR177C,YGR084C
YLL031C,YGR180C
YGR098C,YGR210C
YJL085W,YGR293C
YLR243W,YHR215W
YOR004W,YIL044C
YDR013W,YIL074C
YPR033C,YJR108W
YPL190C,YKR073C
YLR274W,YLR151C
YLR116W,YNR042W
YNL258C,YOR150W
YOR282W,YOR167C
YKL019W,YOR189W
YER104W,YOR222W
YMR033W,YOR246C
YPR034W,YOR258W
YPL207W,YOR263C
YBL014C,YOR300W
YJL025W,YOR318C
YJR057W,YOR387C
YER147C,YOR392W
YGL065C,YPL205C
YDR373W,YPL220W
YBR265W,YPL229W
YPR035W,YPR046W
YLL004W,YPR126C
YNL261W,YPR134W
YPR162C,YPR137C-B
YGL113W,YPR149W
YHR024C,YDR146C
YDL098C,YDR359C
YGR075C,YHR090C
YKL180W,YAL024C
YEL020W-A,YAL047C
YNL181W,YER167W
YKR038C,YGR238C
YBL084C,YJL187C
YDR498C,YJR122W
YOR146W,YLR452C
YOR217W,YMR181C
YGL074C,YGL071W
YDR233C,YGR168C
YJL125C,YDL239C
YJL184W,YJL185C
YOR046C,YKL127W
YNR026C,YLR254C
YDR341C,YMR101C
YKR071C,YMR300C
YGL029W,YBR133C
YMR112C,YBR149W
YLR440C,YCR053W
YOL022C,YDL078C
YOR143C,YDL124W
YOR336W,YDR158W
YLR140W,YGL253W
YGR216C,YGR061C
YDR464W,YGR204W
YGR211W,YHR064C
YPL252C,YHR208W
YPL122C,YJR104C
YDR236C,YJR105W
YLR336C,YJR139C
YGR046W,YKL085W
YKR062W,YKL157W
YBL097W,YLR446W
YPR113W,YMR105C
YMR277W,YMR120C
YDR407C,YOR120W
YMR218C,YPL004C
YFL002C,YPR160W
YBR004C,YAL066W
YJL156C,YAR030C
YDR180W,YBL053W
YFL005W,YBL059W
YBR124W,YBL089W
YKL024C,YBL094C
YKL052C,YBR014C
YNL158W,YBR054W
YBR029C,YBR066C
YGR185C,YBR067C
YML077W,YBR076W
YDR088C,YBR122C
YBR058C-A,YBR174C
YGR277C,YBR184W
YJL097W,YBR293W
YBR070C,YCL005W
YNL245C,YCL014W
YDL235C,YCL050C
YML114C,YCL063W
YDL102W,YCR040W
YML127W,YCR041W
YDR472W,YCR059C
YDR413C,YDL046W
YDR086C,YDL075W
YJR135C,YDL125C
YDL067C,YDR010C
YDR478W,YDR031W
YGL239C,YDR152W
YLL037W,YDR156W
YKL049C,YDR175C
YPL231W,YDR268W
YLR010C,YDR269C
YHR074W,YDR313C
YJL123C,YDR438W
YML023C,YDR439W
YGL091C,YDR482C
YLR220W,YDR500C
YDL196W,YDR516C
YPR133C,YDR533C
YGL098W,YEL008W
YKR063C,YEL013W
YML093W,YEL070W
YOR262W,YEL075C
YCL004W,YER058W
YMR079W,YFL047W
YBR237W,YFR036W
YDR081C,YGL045W
YNL178W,YGL119W
YGR251W,YGL157W
YGR244C,YGL198W
YDR246W,YGL204C
YJL031C,YGL217C
YPL075W,YGL222C
YPL251W,YGL229C
YCR039C,YGR018C
YDL092W,YGR042W
YKL122C,YGR049W
YPL210C,YGR064W
YPL243W,YGR182C
YLR339C,YGR187C
YEL019C,YGR263C
YNL246W,YGR269W
YKL153W,YHL026C
YDR288W,YHL033C
YLR132C,YHR049W
YHL015W,YHR057C
YDR151C,YHR060W
YGR029W,YHR079C-A
YDR367W,YHR130C
YJR012C,YHR156C
YKR079C,YHR193C
YML125C,YHR211W
YGL155W,YIL060W
YDL103C,YIL065C
YLR008C,YIL096C
YHR036W,YIR025W
YHR083W,YJL047C
YJL035C,YJL107C
YDR327W,YJL110C
YLR076C,YJL192C
YLR060W,YJL222W-A
YGL247W,YJR050W
YPR125W,YJR058C
YDR323C,YJR087W
YMR134W,YJR119C
YDR454C,YJR133W
YGR115C,YKL002W
YDR397C,YKL076C
YEL058W,YKL113C
YJR067C,YKL138C
YIL091C,YKL146W
YLR167W,YKL160W
YLR459W,YKL224C
YNL138W-A,YKR040C
YGL102C,YKR087C
YML043C,YKR105C
YGR065C,YLL009C
YLR316C,YLL030C
YOR148C,YLL065W
YKL033W,YLR035C
